repeat,od_idx,origin,dest,alpha,method,punctuality_prob,correct,objective_gap,tie_aware_correct,late_count,delay_sum,max_delay,path_length,mean_time,solve_time
1,5,478,513,0.5,MILP,0.882,True,0.0,True,59,8.00499560885656,0.7083987775568896,26,1.1156457193821414,3.447807788848877
1,5,478,513,0.5,Dijkstra,0.882,True,0.0,True,59,8.00499560885656,0.7083987775568896,26,1.1156457193821414,0.0242256660003477
1,5,478,513,0.7,ILP,0.988,True,0.0,True,6,1.0103378841960557,0.4250392665341338,26,1.1156457193821414,10.03012752532959
1,5,478,513,0.7,MILP,0.988,True,0.0,True,6,1.0103378841960557,0.4250392665341338,26,1.1156457193821414,2.979235887527466
1,5,478,513,0.7,Dijkstra,0.988,True,0.0,True,6,1.0103378841960557,0.4250392665341338,26,1.1156457193821414,0.005624337999506679
1,5,478,513,0.9,ILP,0.998,True,0.0,True,1,0.1416797555113778,0.1416797555113778,26,1.1156457193821414,3.3896141052246094
1,5,478,513,0.9,MILP,0.998,True,0.0,True,1,0.1416797555113778,0.1416797555113778,26,1.1156457193821414,2.9281508922576904
1,5,478,513,0.9,Dijkstra,0.998,True,0.0,True,1,0.1416797555113778,0.1416797555113778,26,1.1156457193821414,0.0037773170006403234
1,6,37,166,0.5,ILP,0.904,True,0.0,True,48,44.744693456888676,4.0002613129243265,70,6.61572342246387,57.15812087059021
1,6,37,166,0.5,MILP,0.904,True,0.0,True,48,44.744693456888676,4.0002613129243265,70,6.61572342246387,5.271474599838257
1,6,37,166,0.5,Dijkstra,0.904,True,0.0,True,48,44.744693456888676,4.0002613129243265,70,6.61572342246387,0.0039879819996713195
1,6,37,166,0.7,ILP,0.986,True,0.0,True,7,7.530905245257728,2.4001567877545966,70,6.61572342246387,12.686105251312256
1,6,37,166,0.7,MILP,0.986,True,0.0,True,7,7.530905245257728,2.4001567877545966,70,6.61572342246387,3.0770723819732666
1,6,37,166,0.7,Dijkstra,0.986,True,0.0,True,7,7.530905245257728,2.4001567877545966,70,6.61572342246387,0.006271408999964478
1,6,37,166,0.9,ILP,0.996,True,0.0,True,2,1.4419791712983354,0.800052262584865,70,6.61572342246387,18.410717010498047
1,6,37,166,0.9,MILP,0.996,True,0.0,True,2,1.4419791712983354,0.800052262584865,70,6.61572342246387,3.6238577365875244
1,6,37,166,0.9,Dijkstra,0.996,True,0.0,True,2,1.4419791712983354,0.800052262584865,70,6.61572342246387,0.0031452799994440284
1,7,362,294,0.5,ILP,0.882,True,0.0,True,59,24.275565172342183,1.489182559869354,39,2.261288690957177,19.731056928634644
1,7,362,294,0.5,MILP,0.882,True,0.0,True,59,24.275565172342183,1.489182559869354,39,2.261288690957177,3.154287338256836
1,7,362,294,0.5,Dijkstra,0.882,True,0.0,True,59,24.275565172342183,1.489182559869354,39,2.261288690957177,0.003950518000237935
1,7,362,294,0.7,ILP,0.976,True,0.0,True,12,4.9136728863476975,0.8935095359216128,39,2.261288690957177,22.340224027633667
1,7,362,294,0.7,MILP,0.976,True,0.0,True,12,4.9136728863476975,0.8935095359216128,39,2.261288690957177,3.1098341941833496
1,7,362,294,0.7,Dijkstra,0.976,True,0.0,True,12,4.9136728863476975,0.8935095359216128,39,2.261288690957177,0.002523832999941078
1,7,362,294,0.9,ILP,0.992,True,0.0,True,4,0.7549184325769618,0.2978365119738706,39,2.261288690957177,12.833032608032227
1,7,362,294,0.9,MILP,0.992,True,0.0,True,4,0.7549184325769618,0.2978365119738706,39,2.261288690957177,3.1574487686157227
1,7,362,294,0.9,Dijkstra,0.992,True,0.0,True,4,0.7549184325769618,0.2978365119738706,39,2.261288690957177,0.0032789699998829747
1,8,195,60,0.5,ILP,0.942,True,0.0,True,29,30.888080444960778,4.280213749875889,84,6.920644624295671,35.963610887527466
1,8,195,60,0.5,MILP,0.942,False,0.0,True,29,30.888080444960824,4.280213749875891,85,6.920644624295671,12.09723687171936
1,8,195,60,0.5,Dijkstra,0.942,False,0.0,True,29,30.888080444960824,4.280213749875891,85,6.920644624295671,0.003079135000007227
1,8,195,60,0.7,ILP,0.982,True,0.0,True,9,9.609482288098333,2.9072029352931263,85,6.92064462429567,27.299434900283813
1,8,195,60,0.7,MILP,0.972,False,0.010000000000000009,False,14,6.210350988273278,2.5146508486315895,134,8.424594301908666,21.22470450401306
1,8,195,60,0.7,Dijkstra,0.982,False,0.0,True,9,9.609482288098329,2.907202935293123,85,6.920644624295671,0.003939811000236659
1,8,195,60,0.9,ILP,0.998,True,0.0,True,1,1.1416400340488213,1.1416400340488213,134,8.424594301908666,6.705373287200928
1,8,195,60,0.9,MILP,0.998,True,0.0,True,1,1.1416400340488213,1.1416400340488213,134,8.424594301908666,13.396795749664307
1,8,195,60,0.9,Dijkstra,0.996,False,0.0020000000000000018,False,2,1.9058003060651565,1.5341921207103546,85,6.920644624295671,0.002898675000324147
1,9,510,438,0.5,ILP,0.886,True,0.0,True,57,25.121339132841246,1.7048400887642883,50,2.812732278120015,24.138476848602295
1,9,510,438,0.5,MILP,0.874,False,0.01200000000000001,False,63,24.366695421740616,1.6293701089963273,45,2.7986672356282627,6.2677321434021
1,9,510,438,0.5,Dijkstra,0.874,False,0.01200000000000001,False,63,24.366695421740616,1.6293701089963273,45,2.7986672356282627,0.0029690930005017435
1,9,510,438,0.7,ILP,0.98,True,0.0,True,10,4.3291766184457225,0.9776220653977967,45,2.7986672356282627,13.152198553085327
