repeat,od_idx,origin,dest,alpha,method,punctuality_prob,correct,solve_time
0,16,32,2,0.6,Dijkstra,0.992,False,0.0002969629999824974
0,16,32,2,0.7,ILP,0.996,True,0.39613914489746094
0,16,32,2,0.7,MILP,0.996,True,0.14126062393188477
0,16,32,2,0.7,Dijkstra,0.996,True,0.0003025119999620074
0,16,32,2,0.8,ILP,0.998,True,0.09865665435791016
0,16,32,2,0.8,MILP,0.998,False,0.16387939453125
0,16,32,2,0.8,Dijkstra,0.998,False,0.0003237430000808672
0,16,32,2,0.9,ILP,0.998,True,0.09934020042419434
0,16,32,2,0.9,MILP,0.998,False,0.14574408531188965
0,16,32,2,0.9,Dijkstra,0.998,False,0.00029177300029914477
0,17,35,10,0.5,ILP,0.988,True,0.19051671028137207
0,17,35,10,0.5,MILP,0.988,False,0.10658621788024902
0,17,35,10,0.5,Dijkstra,0.988,False,0.000273185999958514
0,17,35,10,0.6,ILP,0.992,True,0.2140045166015625
0,17,35,10,0.6,MILP,0.992,True,0.11626672744750977
0,17,35,10,0.6,Dijkstra,0.992,True,0.000332164000155899
0,17,35,10,0.7,ILP,0.994,True,0.1500232219696045
0,17,35,10,0.7,MILP,0.994,True,0.09668588638305664
0,17,35,10,0.7,Dijkstra,0.994,True,0.00028827800042563467
0,17,35,10,0.8,ILP,0.994,True,0.13741421699523926
0,17,35,10,0.8,MILP,0.994,False,0.09524941444396973
0,17,35,10,0.8,Dijkstra,0.994,False,0.00029888100016250974
0,17,35,10,0.9,ILP,0.996,True,0.10428476333618164
0,17,35,10,0.9,MILP,0.996,False,0.09390950202941895
0,17,35,10,0.9,Dijkstra,0.996,False,0.00029671200036318623
0,18,48,44,0.5,ILP,0.964,True,0.3464937210083008
0,18,48,44,0.5,MILP,0.962,False,0.1377263069152832
0,18,48,44,0.5,Dijkstra,0.964,True,0.00027598999986366834
0,18,48,44,0.6,ILP,0.988,True,0.15836834907531738
0,18,48,44,0.6,MILP,0.978,False,0.1030588150024414
0,18,48,44,0.6,Dijkstra,0.988,True,0.00029965600015202654
0,18,48,44,0.7,ILP,0.992,True,0.1474454402923584
0,18,48,44,0.7,MILP,0.992,False,0.09121060371398926
0,18,48,44,0.7,Dijkstra,0.992,False,0.00039797399995222804
0,18,48,44,0.8,ILP,0.996,True,0.10878872871398926
0,18,48,44,0.8,MILP,0.994,False,0.08767461776733398
0,18,48,44,0.8,Dijkstra,0.996,False,0.00028343100029815105
0,18,48,44,0.9,ILP,0.996,True,0.09486651420593262
0,18,48,44,0.9,MILP,0.996,False,0.08743906021118164
0,18,48,44,0.9,Dijkstra,0.996,False,0.0002666279997356469
0,19,26,21,0.5,ILP,0.99,True,0.17815327644348145
0,19,26,21,0.5,MILP,0.98,False,0.1028289794921875
0,19,26,21,0.5,Dijkstra,0.99,True,0.00027790800004368066
0,19,26,21,0.6,ILP,0.998,True,0.1033174991607666
0,19,26,21,0.6,MILP,0.998,True,0.09608650207519531
