repeat,od_idx,origin,dest,alpha,method,punctuality_prob,correct,objective_gap,tie_aware_correct,tie_aware_correct_strict,late_count,delay_sum,max_delay,path_length,mean_time,status,reference_available,reference_status,deadline_mode,solve_time
0,3,61,47,0.7,MILP,0.986,True,0.0,True,,7,740.3989372812905,271.00085083489375,8,362.3066644918936,Optimal,True,Optimal,heuristic,0.4978588800004218
0,3,61,47,0.7,Dijkstra,0.974,False,0.01200000000000001,False,,13,1974.4391738570225,1050.1670435470955,9,323.9139445489475,Optimal,True,Optimal,heuristic,0.00037413599784485996
0,3,61,47,0.8,ILP,0.994,True,0.0,True,True,3,1201.15744842026,956.3665840910776,8,325.99027875290386,Optimal,True,Optimal,heuristic,0.3506627419992583
0,3,61,47,0.8,MILP,0.986,False,0.008000000000000007,False,,7,326.0604004235099,117.39927062614788,10,373.0016043437098,Optimal,True,Optimal,heuristic,0.44842418700136477
0,3,61,47,0.8,Dijkstra,0.98,False,0.014000000000000012,False,,10,1350.9060225048884,991.4674082340214,9,323.9139445489475,Optimal,True,Optimal,heuristic,0.0003769850009121001
0,3,61,47,0.9,ILP,0.996,True,0.0,True,True,2,1029.0886874961523,897.6669487780036,8,325.99027875290386,Optimal,True,Optimal,heuristic,0.3459666290000314
0,3,61,47,0.9,MILP,0.994,False,0.0020000000000000018,False,,3,77.37698058533897,58.69963531307394,10,373.0016043437098,Optimal,True,Optimal,heuristic,0.36857178900390863
0,3,61,47,0.9,Dijkstra,0.994,False,0.0020000000000000018,False,,3,975.8192645422733,932.7677729209474,9,323.9139445489475,Optimal,True,Optimal,heuristic,0.000369207002222538
0,4,50,35,0.5,ILP,0.966,True,0.0,True,True,17,448.04997832888705,120.90736297173254,3,59.59352801945239,Optimal,True,Optimal,heuristic,0.0906170119997114
0,4,50,35,0.5,MILP,0.966,True,0.0,True,,17,448.04997832888705,120.90736297173254,3,59.59352801945239,Optimal,True,Optimal,heuristic,0.08136677899892675
0,4,50,35,0.5,Dijkstra,0.966,True,0.0,True,,17,448.04997832888705,120.90736297173254,3,59.59352801945239,Optimal,True,Optimal,heuristic,0.00037700699613196775
0,4,50,35,0.6,ILP,0.988,True,0.0,True,True,6,236.00129400400218,96.72589037738604,3,59.59352801945239,Optimal,True,Optimal,heuristic,0.13623056500364328
0,4,50,35,0.6,MILP,0.988,True,0.0,True,,6,236.00129400400218,96.72589037738604,3,59.59352801945239,Optimal,True,Optimal,heuristic,0.08209536199865397
0,4,50,35,0.6,Dijkstra,0.988,True,0.0,True,,6,236.00129400400218,96.72589037738604,3,59.59352801945239,Optimal,True,Optimal,heuristic,0.0003541269979905337
