repeat,od_idx,origin,dest,alpha,tau_heur,tau_exact,Tmin_heur,Tmin_exact,Tmax_heur,Tmax_exact,cand_count_heur,cand_count_exact,tau_diff
0.0,4.0,2.0,0.0,0.5,371.23727085826306,371.23727085826306,110.83406247428822,110.83406247428822,631.6404792422379,631.6404792422379,1,1,0.0
0.0,4.0,2.0,0.0,0.7,475.39855421185297,475.39855421185297,110.83406247428822,110.83406247428822,631.6404792422379,631.6404792422379,1,1,0.0
0.0,4.0,2.0,0.0,0.9,579.559837565443,579.559837565443,110.83406247428822,110.83406247428822,631.6404792422379,631.6404792422379,1,1,0.0
1.0,0.0,0.0,7.0,0.5,60.97816106240106,60.97816106240106,11.920909083402538,11.920909083402538,110.03541304139958,110.03541304139958,13,13,0.0
1.0,0.0,0.0,7.0,0.7,80.60106185400046,80.60106185400046,11.920909083402538,11.920909083402538,110.03541304139958,110.03541304139958,13,13,0.0
1.0,0.0,0.0,7.0,0.9,100.22396264559988,100.22396264559988,11.920909083402538,11.920909083402538,110.03541304139958,110.03541304139958,13,13,0.0
1.0,1.0,6.0,4.0,0.5,503.6922186021534,503.6922186021534,183.71225537253113,183.71225537253113,823.6721818317757,823.6721818317757,3,3,0.0
1.0,1.0,6.0,4.0,0.7,631.6842038940023,631.6842038940023,183.71225537253113,183.71225537253113,823.6721818317757,823.6721818317757,3,3,0.0
1.0,1.0,6.0,4.0,0.9,759.6761891858513,759.6761891858513,183.71225537253113,183.71225537253113,823.6721818317757,823.6721818317757,3,3,0.0
1.0,2.0,4.0,8.0,0.5,144.1416415926068,144.1416415926068,41.27690774047612,41.27690774047612,247.00637544473742,247.00637544473742,8,8,0.0
1.0,2.0,4.0,8.0,0.7,185.28753513345902,185.28753513345902,41.27690774047612,41.27690774047612,247.00637544473742,247.00637544473742,8,8,0.0
1.0,2.0,4.0,8.0,0.9,226.4334286743113,226.4334286743113,41.27690774047612,41.27690774047612,247.00637544473742,247.00637544473742,8,8,0.0
1.0,3.0,0.0,6.0,0.5,92.14746274987007,92.14746274987007,23.400246302186115,23.400246302186115,160.894679197554,160.894679197554,6,6,0.0
1.0,3.0,0.0,6.0,0.7,119.64634932894364,119.64634932894364,23.400246302186115,23.400246302186115,160.894679197554,160.894679197554,6,6,0.0
1.0,3.0,0.0,6.0,0.9,147.14523590801724,147.14523590801724,23.400246302186115,23.400246302186115,160.894679197554,160.894679197554,6,6,0.0
1.0,4.0,2.0,0.0,0.5,470.13024630932676,470.13024630932676,88.88424672275659,88.88424672275659,851.376245895897,851.376245895897,1,1,0.0
1.0,4.0,2.0,0.0,0.7,622.6286461439547,622.6286461439547,88.88424672275659,88.88424672275659,851.376245895897,851.376245895897,1,1,0.0
1.0,4.0,2.0,0.0,0.9,775.1270459785828,775.1270459785828,88.88424672275659,88.88424672275659,851.376245895897,851.376245895897,1,1,0.0
2.0,0.0,0.0,7.0,0.5,109.48894340420856,109.48894340420856,26.23740300837843,26.23740300837843,192.7404838000387,192.7404838000387,13,13,0.0
2.0,0.0,0.0,7.0,0.7,142.7895595625406,142.7895595625406,26.23740300837843,26.23740300837843,192.7404838000387,192.7404838000387,13,13,0.0
2.0,0.0,0.0,7.0,0.9,176.09017572087268,176.09017572087268,26.23740300837843,26.23740300837843,192.7404838000387,192.7404838000387,13,13,0.0
2.0,1.0,6.0,4.0,0.5,504.3468837264432,504.3468837264432,213.8185299722099,213.8185299722099,794.8752374806766,794.8752374806766,3,3,0.0
2.0,1.0,6.0,4.0,0.7,620.5582252281365,620.5582252281365,213.8185299722099,213.8185299722099,794.8752374806766,794.8752374806766,3,3,0.0
2.0,1.0,6.0,4.0,0.9,736.7695667298299,736.7695667298299,213.8185299722099,213.8185299722099,794.8752374806766,794.8752374806766,3,3,0.0
2.0,2.0,4.0,8.0,0.5,212.0434255943275,212.0434255943275,80.74914115291662,80.74914115291662,343.3377100357384,343.3377100357384,8,8,0.0
2.0,2.0,4.0,8.0,0.7,264.56113937089185,264.56113937089185,80.74914115291662,80.74914115291662,343.3377100357384,343.3377100357384,8,8,0.0
2.0,2.0,4.0,8.0,0.9,317.0788531474562,317.0788531474562,80.74914115291662,80.74914115291662,343.3377100357384,343.3377100357384,8,8,0.0
2.0,3.0,0.0,6.0,0.5,60.19419395624992,60.19419395624992,6.2868008952762535,6.2868008952762535,114.1015870172236,114.1015870172236,6,6,0.0
2.0,3.0,0.0,6.0,0.7,81.75715118063938,81.75715118063938,6.2868008952762535,6.2868008952762535,114.1015870172236,114.1015870172236,6,6,0.0
